dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,5.211240768432617,1.0422481298446655,3.003757953643799,1.5036462083026954,5.0,5.0,7.681159496307373,1.9202898740768433,5.941257953643799,2.7703926783999537,4.0,4.0,26.7276668548584,5.34553337097168,12.714005470275879,7.711974485207306,5.0,5.0,28.023345947265625,7.005836486816406,14.854630470275879,10.107285556808987,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,12.160867691040039,2.432173490524292,4.054071426391602,3.508884633360996,5.0,5.0,13.199088096618652,3.299772024154663,5.554071426391602,4.7605647353120695,4.0,4.0,32.38713073730469,6.477426052093506,12.714005470275879,9.344950443080277,5.0,5.0,33.31000900268555,8.327502250671387,12.725724220275879,12.014046200035292,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,9.482429504394531,1.5804049968719482,4.267570495605469,2.2800424515832973,6.0,6.0,15.712711334228516,3.1425423622131348,5.330070495605469,4.533730281748379,5.0,5.0,30.34256935119629,5.057095050811768,12.740863800048828,7.295845951110258,6.0,6.0,33.498207092285156,6.699641704559326,15.170551300048828,9.665539862900621,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,6.01386833190918,1.2027736902236938,3.515037775039673,1.7352356381974414,5.0,5.0,8.206787109375,2.05169677734375,2.015037775039673,2.959972766081696,4.0,4.0,32.49754333496094,6.499508857727051,12.714005470275879,9.376809197256708,5.0,5.0,29.29619026184082,7.324047565460205,13.539689064025879,10.566367101924325,4.0,4.0,正确_把字句,错误_SVO,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,3.9469757080078125,0.7893951535224915,1.6998103857040405,1.1388564732886803,5.0,5.0,3.461573600769043,0.8653934001922607,2.19981050491333,1.2484987668754128,4.0,4.0,31.15795135498047,6.231590270996094,12.714005470275879,8.990284380817977,5.0,5.0,27.371200561523438,6.842800140380859,12.159317970275879,9.872073828321769,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,8.647124290466309,1.7294248342514038,3.2703731060028076,2.495032631964718,5.0,5.0,13.421134948730469,3.355283737182617,6.895373344421387,4.84065120840875,4.0,4.0,28.526615142822266,5.705323219299316,12.714005470275879,8.23104151515178,5.0,5.0,29.513622283935547,7.378405570983887,13.141739845275879,10.644789126925954,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,3.976271629333496,0.994067907333374,2.1281137466430664,1.4341368402167283,4.0,4.0,5.804577827453613,1.934859275817871,1.878113865852356,2.7914118820404537,3.0,3.0,26.511444091796875,6.627861022949219,12.714005470275879,9.56198222951009,4.0,4.0,26.406232833862305,8.802078247070312,14.987442970275879,12.69871463656496,3.0,3.0,正确_把字句,错误_SVO,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,12.686402320861816,2.1144003868103027,4.07414436340332,3.0504349525049297,6.0,6.0,16.374622344970703,3.2749245166778564,8.26164436340332,4.724717359496829,5.0,5.0,29.236112594604492,4.872685432434082,12.714005470275879,7.029799109184545,6.0,6.0,30.24786376953125,6.049572944641113,13.581982612609863,8.727688886729778,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,6.0798211097717285,1.2159641981124878,3.290703058242798,1.7542655185154112,5.0,5.0,4.315887928009033,1.0789719820022583,2.353203058242798,1.5566275276927939,4.0,4.0,29.171772003173828,5.834354400634766,12.714005470275879,8.417194160584478,5.0,5.0,25.906787872314453,6.476696968078613,14.268692970275879,9.3438985971876,4.0,4.0,错误_SVO,错误_SVO,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,10.367018699645996,2.591754674911499,4.957433223724365,3.7391116166956073,4.0,4.0,13.176505088806152,4.3921685218811035,7.269933223724365,6.336559745266477,3.0,3.0,27.562936782836914,6.8907341957092285,12.714005470275879,9.941228052233704,4.0,4.0,28.752826690673828,9.58427619934082,14.049942970275879,13.827187743299124,3.0,3.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,11,我的旧电脑太慢了，昨天我,把它换了,换了它,ba,未运行,8.952475547790527,2.238118886947632,2.1064469814300537,3.228923019119275,4.0,4.0,11.219244003295898,3.739748001098633,4.606447219848633,5.395315895359412,3.0,3.0,28.64982795715332,7.16245698928833,12.714005470275879,10.33324117902677,4.0,4.0,30.867835998535156,10.289278984069824,17.206192016601562,14.844291764640568,3.0,3.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,12,汤里掉进了一只苍蝇，我只能,把它倒了,倒了它,ba,未运行,9.921808242797852,2.480452060699463,3.098996639251709,3.5785358871339255,4.0,4.0,12.68028450012207,4.226761817932129,6.786496639251709,6.097928313749502,3.0,3.0,29.34355926513672,7.33588981628418,12.702162742614746,10.583451858461036,4.0,4.0,28.771949768066406,9.59065055847168,13.184584617614746,13.83638399960606,3.0,3.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,13,这张照片拍得不好看，我,把它删了,删了它,ba,未运行,8.910484313964844,1.7820968627929688,3.3858158588409424,2.5710223063351956,5.0,5.0,11.657163619995117,2.9142909049987793,7.885815620422363,4.204433036349548,4.0,4.0,26.256614685058594,5.251323223114014,12.714005470275879,7.576057972091635,5.0,5.0,26.904918670654297,6.726229667663574,13.621232032775879,9.70389818541846,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,14,那盘饺子不能剩下，弟弟刚刚,把它吃掉了,吃掉了它,ba,未运行,14.764412879943848,2.9528825283050537,4.938211917877197,4.260108979913365,5.0,5.0,14.763055801391602,3.6907639503479004,2.5007119178771973,5.324646848258676,4.0,4.0,31.50091552734375,6.300183296203613,12.702162742614746,9.089243198124436,5.0,5.0,27.002521514892578,6.7506303787231445,13.536635398864746,9.739100970258265,4.0,4.0,正确_把字句,错误_SVO,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,15,这个包裹的胶带太紧了，我,把它剪开了,剪开了它,ba,未运行,10.785407066345215,1.7975678443908691,3.839632034301758,2.5933422147641707,6.0,6.0,13.134612083435059,2.626922369003296,7.839632034301758,3.789847874561343,5.0,5.0,33.86027526855469,5.643379211425781,12.702162742614746,8.141675202179844,6.0,6.0,35.09722900390625,7.019445896148682,14.420912742614746,10.126919784162089,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,16,这件衣服破了一个洞，妈妈已经,把它缝好了,缝好了它,ba,未运行,5.111629486083984,1.022325873374939,2.8581113815307617,1.4749044676905028,5.0,5.0,9.817920684814453,2.4544801712036133,5.295611381530762,3.541066370955747,4.0,4.0,33.72848892211914,6.745697975158691,12.714005470275879,9.731985016096166,5.0,5.0,32.6268424987793,8.156710624694824,14.346817970275879,11.767645968213541,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,17,那个面包已经发霉了，我早上,把它丢掉了,丢掉了它,ba,未运行,11.266380310058594,1.877730131149292,4.489228248596191,2.7089919483368665,6.0,6.0,14.344018936157227,2.8688037395477295,8.801728248596191,4.138808928329222,5.0,5.0,30.896018981933594,5.149336814880371,12.702162742614746,7.428922686694881,6.0,6.0,29.31778335571289,5.863556861877441,13.451186180114746,8.459324406601038,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,18,这碗汤实在太咸了，我加了一些水,把它冲淡了,冲淡了它,ba,未运行,10.401094436645508,2.080219030380249,5.19819974899292,3.0011216790924333,5.0,5.0,8.755752563476562,2.1889381408691406,4.82319974899292,3.1579702006446166,4.0,4.0,35.420005798339844,7.084001064300537,12.764680862426758,10.220053205118525,5.0,5.0,35.428680419921875,8.857170104980469,15.405305862426758,12.778195386765303,4.0,4.0,正确_把字句,错误_SVO,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,19,厨房的窗户太脏了，我用抹布,把它擦干净了,擦干净了它,ba,未运行,6.235828399658203,1.0393047332763672,3.3804869651794434,1.4993997846702418,6.0,6.0,5.818012237548828,1.1636024713516235,0.44298699498176575,1.6787235149851294,5.0,5.0,32.64557647705078,5.440929412841797,12.764680862426758,7.8496018817337605,6.0,6.0,35.1275749206543,7.025515079498291,18.834993362426758,10.135675764882816,5.0,5.0,正确_把字句,错误_SVO,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,20,这个西瓜太大了，我一个人吃不完，先用刀,把它切开了,切开了它,ba,未运行,8.75363540649414,1.7507270574569702,2.1344308853149414,2.5257652437432982,5.0,5.0,11.244291305541992,2.811072826385498,1.5094307661056519,4.05552082620408,4.0,4.0,30.13166618347168,6.026333332061768,12.764680862426758,8.694161212909375,5.0,5.0,30.130830764770508,7.532707691192627,13.163118362426758,10.867400030549756,4.0,4.0,正确_把字句,错误_SVO,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,21,那张画被妹妹涂得乱七八糟，我只能,把它扔了,扔了它,ba,未运行,7.031004428863525,1.406200885772705,2.56325101852417,2.0287190443979495,5.0,5.0,8.590742111206055,2.1476855278015137,5.43825101852417,3.09845526034824,4.0,4.0,26.77572250366211,5.355144500732422,12.764680862426758,7.725840414450469,5.0,5.0,28.159740447998047,7.039935111999512,14.913118362426758,10.156479474261785,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
ba_preferred,物理状态改变,22,昨天买的肉还没吃，为了保鲜，我先,把它冻起来了,冻起来了它,ba,未运行,9.936132431030273,1.656022071838379,1.2769774198532104,2.389134830643896,6.0,6.0,18.110937118530273,3.622187376022339,4.7769775390625,5.225711764558035,5.0,5.0,33.926795959472656,5.654466152191162,12.764680862426758,8.157670276640689,6.0,6.0,34.08479309082031,6.816958904266357,12.827180862426758,9.834792805128936,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B
