dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_ba,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
svo_preferred,习惯性动作与泛指,1,弟弟非常喜欢运动，每天下午都去操场,把足球踢了,踢足球,svo,未运行,23.023006439208984,2.3023006916046143,5.354101657867432,3.321517790413208,10.0,10.0,12.477953910827637,1.7825648784637451,6.041601657867432,2.571697510222483,7.0,7.0,32.97473907470703,3.297473907470703,12.706220626831055,4.7572492537687365,10.0,10.0,27.538684844970703,3.9340980052948,10.964033126831055,5.675703682609971,7.0,7.0,正确_SVO,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,2,老板每天到办公室以后，都会先在桌子前,把咖啡喝了,喝咖啡,svo,未运行,17.174657821655273,1.9082952737808228,4.198875427246094,2.75308812803544,9.0,9.0,11.482048034667969,1.9136747121810913,6.386375427246094,2.7608490171382747,6.0,6.0,31.976106643676758,3.552900791168213,12.706220626831055,5.125752352188855,9.0,9.0,28.022037506103516,4.670339584350586,14.885908126831055,6.737875757610013,6.0,6.0,错误_把字句,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,3,她很喜欢阅读，她回家的第一件事就是坐在沙发上,把书看了,看书,svo,未运行,14.522655487060547,2.420442581176758,5.123866558074951,3.491960508620191,6.0,6.0,4.8405961990356445,1.6135320663452148,2.498866558074951,2.3278347104315635,3.0,3.0,32.94044876098633,5.49007511138916,12.706220626831055,7.920504137309065,6.0,6.0,23.133468627929688,7.711156368255615,14.956220626831055,11.124847052001726,3.0,3.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,4,每天中午十二点，工厂的工人们都会准时去食堂,把午饭吃了,吃午饭,svo,未运行,17.62399673461914,1.762399673461914,5.3035688400268555,2.542605268967832,10.0,10.0,6.024559020996094,0.8606513142585754,2.4910688400268555,1.2416573830154156,7.0,7.0,33.619056701660156,3.361905813217163,12.706220626831055,4.850204844664179,10.0,10.0,25.385868072509766,3.6265528202056885,12.057783126831055,5.232009769232631,7.0,7.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,5,这所学校的管理很严格，老师要求学生们要大声地,把课文读了,读课文,svo,未运行,21.498519897460938,2.687314987182617,3.905090570449829,3.8769760053149502,8.0,8.0,16.98505401611328,3.3970108032226562,3.530090570449829,4.900850639655561,5.0,5.0,39.34074783325195,4.917593479156494,12.706220626831055,7.094587725486979,8.0,8.0,26.357635498046875,5.271527290344238,12.792158126831055,7.605206279690467,5.0,5.0,错误_把字句,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,6,我平时不爱喝饮料，只,把白开水喝了,喝白开水,svo,未运行,25.94361686706543,2.8826241493225098,5.903090953826904,4.158747564974352,9.0,9.0,14.41790771484375,2.402984619140625,1.8405910730361938,3.466773993366634,6.0,6.0,43.72059631347656,4.85784387588501,12.706220626831055,7.0083872691521245,9.0,9.0,38.570953369140625,6.428492546081543,14.885908126831055,9.274354316623509,6.0,6.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,7,为了准备下个月的考试，他每天在图书馆,把单词背了,背单词,svo,未运行,29.357257843017578,3.6696572303771973,6.129987716674805,5.294196288027511,8.0,8.0,16.00168228149414,3.200336456298828,8.442487716674805,4.6171095346784785,5.0,5.0,39.02631378173828,4.878289222717285,12.650915145874023,7.037883669636304,8.0,8.0,28.58609962463379,5.717219829559326,13.853063583374023,8.248204695777284,5.0,5.0,正确_SVO,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,8,每天晚上睡觉以前，我都去卫生间,把牙刷了,刷牙,svo,未运行,20.38541603088379,2.9122023582458496,4.479056358337402,4.201419900306432,7.0,7.0,10.247844696044922,2.5619611740112305,5.729056358337402,3.696128680696069,4.0,4.0,40.52928161621094,5.789897441864014,12.650915145874023,8.353056326632908,7.0,7.0,29.286684036254883,7.321671009063721,12.963415145874023,10.562938455796722,4.0,4.0,正确_SVO,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,9,每个周末去公园的时候，奶奶总在湖边,把歌听了,听歌,svo,未运行,26.688966751098633,3.8127098083496094,4.4377241134643555,5.500577532854692,7.0,7.0,11.577205657958984,2.894301414489746,3.8752241134643555,4.175594297522269,4.0,4.0,37.1863899230957,5.312341690063477,12.706220626831055,7.664089011762273,7.0,7.0,23.92201805114746,5.980504512786865,12.057783126831055,8.628044202611678,4.0,4.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,10,弟弟不开心的时候，喜欢在房间里,把吉他弹了,弹吉他,svo,未运行,27.022043228149414,3.3777554035186768,4.609364986419678,4.873070969992295,8.0,8.0,16.55695152282715,3.3113903999328613,4.984364986419678,4.777326508430461,5.0,5.0,39.63347625732422,4.954184532165527,12.706220626831055,7.1473774562040155,8.0,8.0,30.876890182495117,6.175378322601318,13.194501876831055,8.909187681630128,5.0,5.0,正确_SVO,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,11,每天早上吃早饭的时候，弟弟都会,把牛奶喝了,喝牛奶,svo,未运行,16.230545043945312,1.8033939599990845,4.200190544128418,2.601747522859789,9.0,9.0,9.103348731994629,1.5172247886657715,3.325190544128418,2.1888926785219143,6.0,6.0,32.33020782470703,3.59224534034729,12.706220626831055,5.182514538175522,9.0,9.0,27.06287384033203,4.510478973388672,14.885908126831055,6.50724564694178,6.0,6.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,12,每天早上六点起床后，爷爷常常坐在院子里,把广播听了,听广播,svo,未运行,29.281566619873047,3.253507375717163,5.957378387451172,4.693818956442817,9.0,9.0,12.022998809814453,2.003833293914795,3.832378387451172,2.8909203558990715,6.0,6.0,38.27458953857422,4.252732276916504,12.706220626831055,6.13539576613587,9.0,9.0,28.07687759399414,4.679479598999023,12.057783126831055,6.751062011416966,6.0,6.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,13,每天下班回家后，爸爸总是习惯坐在沙发上打开手机,把新闻看了,看新闻,svo,未运行,16.818790435791016,2.402684450149536,5.120370864868164,3.4663409410517616,7.0,7.0,6.48533821105957,1.6213345527648926,3.745370864868164,2.3390913188958358,4.0,4.0,33.3017578125,4.757394313812256,12.706220626831055,6.863469184090294,7.0,7.0,20.9527530670166,5.23818826675415,14.956220626831055,7.557108235688967,4.0,4.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,14,每天晚上睡觉前，妹妹都会坐在书桌前安静地,把日记写了,写日记,svo,未运行,20.008071899414062,2.501008987426758,4.237011432647705,3.6081932633793112,8.0,8.0,11.9741792678833,2.394835948944092,4.299511432647705,3.455017947284256,5.0,5.0,33.0665397644043,4.133317470550537,12.706220626831055,5.963116617182974,8.0,8.0,23.58548927307129,4.717097759246826,12.643720626831055,6.805333544653838,5.0,5.0,正确_SVO,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,15,每个周末下午五点，邻居家的女儿都会在自己的房间里,把钢琴弹了,弹钢琴,svo,未运行,19.77364730834961,1.9773647785186768,4.644779205322266,2.8527343599973984,10.0,10.0,14.577445030212402,2.0824923515319824,5.269779205322266,3.004401388244387,7.0,7.0,37.73927307128906,3.7739274501800537,12.706220626831055,5.444626417049494,10.0,10.0,26.772693634033203,3.8246707916259766,13.194501876831055,5.517833584111663,7.0,7.0,错误_把字句,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,16,每次去超市，她习惯推着车子,把零食买了,买零食,svo,未运行,25.32907485961914,2.8143417835235596,4.682566165924072,4.06023693445604,9.0,9.0,18.496335983276367,3.0827226638793945,5.057566165924072,4.447428699614817,6.0,6.0,39.99241638183594,4.443602085113525,12.706220626831055,6.4107626918771405,9.0,9.0,30.9945068359375,5.1657514572143555,12.924970626831055,7.452604009788087,6.0,6.0,错误_把字句,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,17,妈妈非常喜欢植物，每次去超市的时候，她都会顺便,把鲜花买了,买鲜花,svo,未运行,20.482425689697266,2.0482425689697266,3.3750569820404053,2.954989396790295,10.0,10.0,14.141002655029297,2.0201432704925537,2.7500569820404053,2.914450678224819,7.0,7.0,35.739097595214844,3.5739097595214844,12.706220626831055,5.156061886646313,10.0,10.0,34.086280822753906,4.869468688964844,12.924970626831055,7.025158329333663,7.0,7.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,18,王老师平时不爱喝咖啡，他每天在办公室只,把绿茶喝了,喝绿茶,svo,未运行,21.04391098022461,2.104391098022461,6.855817794799805,3.035994601207885,10.0,10.0,10.79084300994873,1.5415490865707397,0.6683175563812256,2.2239852224825176,7.0,7.0,32.673038482666016,3.267303943634033,12.706220626831055,4.7137231965577735,10.0,10.0,31.625255584716797,4.5178937911987305,14.885908126831055,6.517942967825447,7.0,7.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,19,为了学好汉语，他每天都坚持在练习本上,把汉字写了,写汉字,svo,未运行,18.605953216552734,2.325744152069092,5.220562934875488,3.355339554566586,8.0,8.0,7.592005252838135,1.518401026725769,3.4705629348754883,2.1905896313379776,5.0,5.0,39.047332763671875,4.880916595458984,12.706220626831055,7.04167416726132,8.0,8.0,30.055137634277344,6.011027812957764,12.643720626831055,8.672080016399798,5.0,5.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,20,经理每天早上到了公司，第一件事就是打开电脑,把邮件查了,查邮件,svo,未运行,19.97393798828125,2.853419780731201,5.691336631774902,4.116614567235377,7.0,7.0,18.27131462097168,4.56782865524292,5.441336631774902,6.5899837485494634,4.0,4.0,36.385799407958984,5.197971343994141,12.706220626831055,7.499087480663287,7.0,7.0,30.001768112182617,7.500442028045654,15.589033126831055,10.820850518336625,4.0,4.0,错误_把字句,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,21,每次坐地铁的时候，为了打发时间，我都会戴上耳机,把音乐听了,听音乐,svo,未运行,14.039047241210938,1.5598942041397095,5.1365556716918945,2.250451632623795,9.0,9.0,5.454026222229004,0.9090043902397156,3.0115554332733154,1.3114161259451338,6.0,6.0,33.954429626464844,3.772714376449585,12.706220626831055,5.442876321594314,9.0,9.0,24.017179489135742,4.00286340713501,12.057783126831055,5.774911186829579,6.0,6.0,正确_SVO,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,22,小区里有一位好心的阿姨，每天傍晚都会去花园,把流浪猫喂了,喂流浪猫,svo,未运行,34.88581085205078,3.1714375019073486,5.305963516235352,4.575417156491015,11.0,11.0,26.164134979248047,3.270516872406006,4.305963516235352,4.7183584729638275,8.0,8.0,47.03013610839844,4.2754669189453125,12.706220626831055,6.168194921447218,11.0,11.0,47.493370056152344,5.936671257019043,14.885908126831055,8.564806181889422,8.0,8.0,错误_把字句,正确_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
svo_preferred,习惯性动作与泛指,23,这位护士很细心，每天都会按时给每个病人,把体温量了,量体温,svo,未运行,29.731182098388672,4.247312068939209,3.4069161415100098,6.12757605896644,7.0,7.0,19.32337188720703,4.830842971801758,9.188165664672852,6.969433198731699,4.0,4.0,44.432350158691406,6.347478866577148,12.706220626831055,9.157476282958351,7.0,7.0,26.241037368774414,6.5602593421936035,17.120283126831055,9.464453619928205,4.0,4.0,错误_把字句,错误_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
