dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,4.090584754943848,1.3635282516479492,1.9106462001800537,1.967155446764495,3.0,3.0,8.714365005493164,2.9047884941101074,5.410646438598633,4.190723955283972,3.0,3.0,16.489166259765625,8.244583129882812,13.381752014160156,11.894419195678742,3.0,2.0,19.374618530273438,9.687309265136719,12.065245628356934,13.975833036370453,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,9.848865509033203,3.2829551696777344,3.952105760574341,4.736303142754853,3.0,3.0,12.510453224182129,4.170151233673096,8.639605522155762,6.016256504577168,3.0,3.0,18.276060104370117,9.138030052185059,12.268470764160156,13.1833906397817,3.0,2.0,20.54067611694336,10.27033805847168,12.352330207824707,14.816965785210277,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,8.794954299926758,2.9316515922546387,4.60561466217041,4.22947921376,3.0,3.0,13.35229778289795,4.450766086578369,6.91811466217041,6.421098161263392,3.0,3.0,13.747011184692383,6.873505592346191,11.202064514160156,9.916372431600408,3.0,2.0,19.299345016479492,9.649672508239746,11.95316219329834,13.921534673840046,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,5.056164264678955,1.6853880882263184,3.309256076812744,2.43150103685744,3.0,3.0,9.291911125183105,3.097303867340088,1.8092560768127441,4.4684649295377525,3.0,3.0,21.801925659179688,10.900962829589844,17.303627014160156,15.72676501516419,3.0,2.0,29.222698211669922,14.611349105834961,19.281160354614258,21.07972089568549,3.0,2.0,正确_把字句,错误_SVO,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,4.9800004959106445,1.660000205039978,2.231605052947998,2.394874063685839,3.0,3.0,7.0767083168029785,2.358902931213379,2.356605052947998,3.4031775607999815,3.0,3.0,14.453015327453613,7.226507663726807,9.087942123413086,10.425646769404754,3.0,2.0,23.681427001953125,11.840713500976562,15.430030822753906,17.082538648445883,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,8.206571578979492,2.7355239391326904,2.7344725131988525,3.9465268212197753,3.0,3.0,10.864108085632324,3.6213693618774414,5.921972274780273,5.224531619607815,3.0,3.0,13.57921028137207,6.789605140686035,10.056692123413086,9.795329666061956,3.0,2.0,20.50481414794922,10.25240707397461,11.536149978637695,14.791096842798098,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,5.755614280700684,1.9185380935668945,2.7656335830688477,2.767865393345525,3.0,3.0,9.892313957214355,3.297438144683838,2.6406335830688477,4.757197658973477,3.0,3.0,17.35956382751465,8.679781913757324,14.295814514160156,12.522278322975408,3.0,2.0,19.408123016357422,9.704061508178711,10.958102226257324,14.000001414330901,3.0,2.0,正确_把字句,错误_SVO,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,14.357292175292969,4.785764217376709,5.632349967956543,6.904398303273229,3.0,3.0,15.944384574890137,5.314795017242432,11.913599967956543,7.667628414717029,3.0,3.0,20.74736785888672,10.37368392944336,17.334877014160156,14.966062360757471,3.0,2.0,20.736085891723633,10.368042945861816,13.364400863647461,14.957924141718642,3.0,2.0,正确_把字句,正确_把字句,SVO,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,5.867592811584473,1.9558643102645874,3.67136549949646,2.821715741070433,3.0,3.0,4.051370620727539,1.350456953048706,3.17136549949646,1.948297549097388,3.0,3.0,19.284780502319336,9.642390251159668,16.837942123413086,13.91102859766414,3.0,2.0,15.331082344055176,7.665541172027588,10.326375007629395,11.059038234614373,3.0,2.0,错误_SVO,错误_SVO,SVO,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,7.480123519897461,2.4933745861053467,4.9663896560668945,3.5971791504527553,3.0,3.0,9.081218719482422,3.0270729064941406,4.7788896560668945,4.367143070608438,3.0,3.0,16.24730682373047,8.123653411865234,14.041067123413086,11.719954491198681,3.0,2.0,20.980974197387695,10.490487098693848,12.565993309020996,15.134573713795264,3.0,2.0,正确_把字句,错误_SVO,把字句,是,Qwen2.5-1.5B-Base,Qwen/Qwen2.5-1.5B
